# start_node_id,start_x,start_y,end_node_id,end_x,end_y,weight
N_0_0,100.0,100.0,N_1_0,300.0,100.0,10.0
N_0_0,100.0,100.0,N_0_1,100.0,300.0,10.0
N_0_1,100.0,300.0,N_1_1,300.0,300.0,10.0
N_0_1,100.0,300.0,N_0_2,100.0,500.0,10.0
N_0_2,100.0,500.0,N_1_2,300.0,500.0,10.0
N_0_2,100.0,500.0,N_0_3,100.0,700.0,10.0
N_0_3,100.0,700.0,N_1_3,300.0,700.0,10.0
N_0_3,100.0,700.0,N_0_4,100.0,900.0,10.0
N_0_4,100.0,900.0,N_1_4,300.0,900.0,10.0
N_1_0,300.0,100.0,N_2_0,500.0,100.0,10.0
N_1_0,300.0,100.0,N_1_1,300.0,300.0,10.0
N_1_1,300.0,300.0,N_2_1,500.0,300.0,10.0
N_1_1,300.0,300.0,N_1_2,300.0,500.0,10.0
N_1_2,300.0,500.0,N_2_2,500.0,500.0,10.0
N_1_2,300.0,500.0,N_1_3,300.0,700.0,10.0
N_1_3,300.0,700.0,N_2_3,500.0,700.0,10.0
N_1_3,300.0,700.0,N_1_4,300.0,900.0,10.0
N_1_4,300.0,900.0,N_2_4,500.0,900.0,10.0
N_2_0,500.0,100.0,N_3_0,700.0,100.0,10.0
N_2_0,500.0,100.0,N_2_1,500.0,300.0,10.0
N_2_1,500.0,300.0,N_3_1,700.0,300.0,10.0
N_2_1,500.0,300.0,N_2_2,500.0,500.0,10.0
N_2_2,500.0,500.0,N_3_2,700.0,500.0,10.0
N_2_2,500.0,500.0,N_2_3,500.0,700.0,10.0
N_2_3,500.0,700.0,N_3_3,700.0,700.0,10.0
N_2_3,500.0,700.0,N_2_4,500.0,900.0,10.0
N_2_4,500.0,900.0,N_3_4,700.0,900.0,10.0
N_3_0,700.0,100.0,N_4_0,900.0,100.0,10.0
N_3_0,700.0,100.0,N_3_1,700.0,300.0,10.0
N_3_1,700.0,300.0,N_4_1,900.0,300.0,10.0
N_3_1,700.0,300.0,N_3_2,700.0,500.0,10.0
N_3_2,700.0,500.0,N_4_2,900.0,500.0,10.0
N_3_2,700.0,500.0,N_3_3,700.0,700.0,10.0
N_3_3,700.0,700.0,N_4_3,900.0,700.0,10.0
N_3_3,700.0,700.0,N_3_4,700.0,900.0,10.0
N_3_4,700.0,900.0,N_4_4,900.0,900.0,10.0
N_4_0,900.0,100.0,N_4_1,900.0,300.0,10.0
N_4_1,900.0,300.0,N_4_2,900.0,500.0,10.0
N_4_2,900.0,500.0,N_4_3,900.0,700.0,10.0
N_4_3,900.0,700.0,N_4_4,900.0,900.0,10.0
